contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,moneyness,iv_oi_ratio,volume_oi_ratio,mid_price,expiry,time_to_expiry
AAPL250801C00205000,2025-08-01 14:30:41+00:00,205.0,1.49,1.46,1.49,-4.66,-75.77236,15843.0,3737,0.4643608251953125,False,0.0022489817589056043,0.00012426032217091498,4.239496911320586,1.475,2025-08-01,-0.0027397260273972603
AAPL250801C00207500,2025-08-01 14:30:33+00:00,207.5,0.53,0.51,0.53,-4.17,-88.72341,35832.0,10108,0.4130918066406249,False,0.01447153031694104,4.086780829362355e-05,3.544914915369099,0.52,2025-08-01,-0.0027397260273972603
AAPL250801C00210000,2025-08-01 14:30:33+00:00,210.0,0.17,0.17,0.18,-3.33,-94.871796,56444.0,24958,0.4130918066406249,False,0.026694078874976473,1.6551478743293138e-05,2.2615594189191603,0.175,2025-08-01,-0.0027397260273972603
AAPL250801C00212500,2025-08-01 14:30:30+00:00,212.5,0.07,0.07,0.08,-2.44,-96.8254,38424.0,13058,0.45117736328125,False,0.038916627433011906,3.455179682460806e-05,2.942563943220582,0.07500000000000001,2025-08-01,-0.0027397260273972603
AAPL250801C00215000,2025-08-01 14:30:18+00:00,215.0,0.03,0.03,0.04,-1.6700001,-97.66082,39593.0,31134,0.492192578125,False,0.05113917599104734,1.580884492731135e-05,1.2716965371389168,0.035,2025-08-01,-0.0027397260273972603
AAPL250801C00217500,2025-08-01 14:29:37+00:00,217.5,0.02,0.02,0.03,-1.13,-98.26087,16351.0,15053,0.5468795312500001,False,0.06336172454908277,3.6330268443944556e-05,1.086228658017519,0.025,2025-08-01,-0.0027397260273972603
AAPL250801C00220000,2025-08-01 14:30:01+00:00,220.0,0.01,0.01,0.02,-0.79,-97.53086,24719.0,32075,0.5937540625000001,False,0.07558427310711821,1.851142828729184e-05,0.7706625095025215,0.015,2025-08-01,-0.0027397260273972603
AAPL250801C00222500,2025-08-01 14:30:04+00:00,222.5,0.01,0.01,0.02,-0.52,-98.11321,7240.0,13313,0.6718782812500002,False,0.08780682166515365,5.0467834503517e-05,0.5438293393346133,0.015,2025-08-01,-0.0027397260273972603
